,SK_ID_CURR,TARGET,CNT_CHILDREN,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_EMP_PHONE,FLAG_WORK_PHONE,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,DEF_30_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,FLAG_DOCUMENT_12,AMT_REQ_CREDIT_BUREAU_YEAR,NAME_CONTRACT_TYPE_Cash loans,NAME_INCOME_TYPE_Maternity leave,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_FAMILY_STATUS_Civil marriage,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS_Unknown,NAME_HOUSING_TYPE_With parents,OCCUPATION_TYPE_Drivers,OCCUPATION_TYPE_Laborers,OCCUPATION_TYPE_Low-skill Laborers,ORGANIZATION_TYPE_Business Entity Type 3,ORGANIZATION_TYPE_Self-employed,ANNUITY_INCOME_PERC,PAYMENT_RATE,BURO_DAYS_CREDIT_MIN,BURO_DAYS_CREDIT_MAX,BURO_DAYS_CREDIT_MEAN,BURO_DAYS_CREDIT_ENDDATE_MIN,BURO_DAYS_CREDIT_ENDDATE_MAX,BURO_DAYS_CREDIT_ENDDATE_MEAN,BURO_DAYS_CREDIT_UPDATE_MEAN,BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,BURO_CREDIT_ACTIVE_Active_MEAN,BURO_CREDIT_ACTIVE_Bad debt_MEAN,BURO_CREDIT_ACTIVE_nan_MEAN,BURO_CREDIT_CURRENCY_currency 4_MEAN,BURO_CREDIT_CURRENCY_nan_MEAN,BURO_CREDIT_TYPE_Credit card_MEAN,BURO_CREDIT_TYPE_Interbank credit_MEAN,BURO_CREDIT_TYPE_Loan for purchase of shares (margin lending)_MEAN,BURO_CREDIT_TYPE_Microloan_MEAN,BURO_CREDIT_TYPE_Mobile operator loan_MEAN,BURO_CREDIT_TYPE_nan_MEAN,ACTIVE_DAYS_CREDIT_MIN,ACTIVE_DAYS_CREDIT_MAX,ACTIVE_DAYS_CREDIT_MEAN,ACTIVE_DAYS_CREDIT_UPDATE_MEAN,ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,CLOSED_DAYS_CREDIT_MIN,CLOSED_DAYS_CREDIT_MAX,CLOSED_DAYS_CREDIT_MEAN,CLOSED_DAYS_CREDIT_ENDDATE_MIN,CLOSED_DAYS_CREDIT_UPDATE_MEAN,CLOSED_AMT_CREDIT_SUM_OVERDUE_MEAN,PREV_DAYS_DECISION_MIN,PREV_DAYS_DECISION_MEAN,PREV_CNT_PAYMENT_MEAN,PREV_CNT_PAYMENT_SUM,PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN,PREV_NAME_CONTRACT_TYPE_nan_MEAN,PREV_WEEKDAY_APPR_PROCESS_START_nan_MEAN,PREV_FLAG_LAST_APPL_PER_CONTRACT_nan_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Urgent needs_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_nan_MEAN,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,PREV_NAME_CONTRACT_STATUS_nan_MEAN,PREV_NAME_PAYMENT_TYPE_XNA_MEAN,PREV_NAME_PAYMENT_TYPE_nan_MEAN,PREV_CODE_REJECT_REASON_HC_MEAN,PREV_CODE_REJECT_REASON_LIMIT_MEAN,PREV_CODE_REJECT_REASON_SCO_MEAN,PREV_CODE_REJECT_REASON_SCOFR_MEAN,PREV_CODE_REJECT_REASON_nan_MEAN,PREV_NAME_TYPE_SUITE_nan_MEAN,PREV_NAME_CLIENT_TYPE_New_MEAN,PREV_NAME_CLIENT_TYPE_nan_MEAN,PREV_NAME_GOODS_CATEGORY_Animals_MEAN,PREV_NAME_GOODS_CATEGORY_House Construction_MEAN,PREV_NAME_GOODS_CATEGORY_XNA_MEAN,PREV_NAME_GOODS_CATEGORY_nan_MEAN,PREV_NAME_PORTFOLIO_Cards_MEAN,PREV_NAME_PORTFOLIO_XNA_MEAN,PREV_NAME_PORTFOLIO_nan_MEAN,PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,PREV_NAME_PRODUCT_TYPE_nan_MEAN,PREV_CHANNEL_TYPE_AP+ (Cash loan)_MEAN,PREV_CHANNEL_TYPE_nan_MEAN,PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,PREV_NAME_SELLER_INDUSTRY_nan_MEAN,PREV_NAME_YIELD_GROUP_XNA_MEAN,PREV_NAME_YIELD_GROUP_high_MEAN,PREV_NAME_YIELD_GROUP_nan_MEAN,PREV_PRODUCT_COMBINATION_Card Street_MEAN,PREV_PRODUCT_COMBINATION_Cash_MEAN,PREV_PRODUCT_COMBINATION_Cash Street: high_MEAN,PREV_PRODUCT_COMBINATION_Cash X-Sell: high_MEAN,APPROVED_DAYS_DECISION_MIN,APPROVED_DAYS_DECISION_MEAN,POS_MONTHS_BALANCE_MEAN,POS_SK_DPD_MAX,POS_SK_DPD_MEAN,POS_NAME_CONTRACT_STATUS_XNA_MEAN,POS_NAME_CONTRACT_STATUS_nan_MEAN,INSTAL_DPD_MEAN,INSTAL_PAYMENT_PERC_MAX,INSTAL_PAYMENT_DIFF_MAX,INSTAL_PAYMENT_DIFF_MEAN,INSTAL_PAYMENT_DIFF_SUM,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,INSTAL_DAYS_ENTRY_PAYMENT_SUM
26754,131100,0.0,0,-16339,,-9691.0,-4287,0,0,3,3,0,0,0,0.0,0.0,-1908.0,1,0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.1539428571428571,0.03592,-2710.0,-91.0,-1925.7058823529408,-2525.0,30966.0,1801.235294117647,-919.4117647058824,0.0,0.3529411764705882,0.0,0.0,0.0,0.0,0.2352941176470588,0.0,0.0,0.0,0.0,0.0,-2494.0,-91.0,-1676.5,-323.5,0.0,-2710.0,-1311.0,-2061.6363636363635,-2525.0,-1244.4545454545455,0.0,-2702.0,-994.5,23.5,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.5,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.5,0.1666666666666666,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.1666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,-2702.0,-1783.0,-51.28947368421053,0.0,0.0,0.0,0.0,0.2972972972972973,1.0,5590.665,453.9745945945946,16797.06,-1554.8648648648648,-57530.0
33149,138408,0.0,2,-15824,-3460.0,-8372.0,-4844,1,0,2,2,0,0,0,0.0,0.0,0.0,1,0,3.0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.2255,0.1191818470103238,-1923.0,-779.0,-1282.3333333333333,-1558.0,-413.0,-937.0,-955.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-1923.0,-779.0,-1282.3333333333333,-1558.0,-955.6666666666666,0.0,-1386.0,-582.75,20.5,82.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,-1386.0,-702.6666666666666,-22.52173913043478,0.0,0.0,0.0,0.0,0.0952380952380952,1.0,0.0,0.0,0.0,-686.4285714285714,-14415.0
3902,104562,0.0,0,-20071,-3740.0,-3711.0,-3512,1,0,2,2,0,0,0,0.0,0.0,0.0,1,0,2.0,1,0,1,1,0,0,0,0,0,1,0,1,0,0.2043,0.0322578947368421,-2870.0,-546.0,-1752.3333333333333,-2321.0,176.0,-1140.2,-766.8333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,,,,,,-2870.0,-546.0,-1752.3333333333333,-2321.0,-766.8333333333334,0.0,-1804.0,-1417.75,8.5,34.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,-1804.0,-1398.6666666666667,-41.04347826086956,2.0,0.1739130434782608,0.0,0.0,0.2608695652173913,1.0,9338.04,1852.4015217391304,42605.235,-1288.0434782608695,-29625.0
10305,111992,0.0,0,-23793,,-1017.0,-4854,0,0,3,3,0,0,0,0.0,0.0,-1398.0,1,0,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.15344,0.0379801980198019,-2715.0,-378.0,-1141.111111111111,-1954.0,315.0,-589.5555555555555,-811.2222222222222,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1457.0,-416.0,-1007.3333333333334,-681.3333333333334,0.0,-2715.0,-378.0,-1208.0,-1954.0,-876.1666666666666,0.0,-2430.0,-1189.2857142857142,17.2,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1428571428571428,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.1428571428571428,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.1428571428571428,0.0,0.0,-2430.0,-1577.0,-37.56164383561644,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1179.6666666666667,-81397.0
27293,131718,0.0,0,-23258,,-6149.0,-4232,0,0,1,1,0,0,0,0.0,0.0,-330.0,1,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0.2233,0.0330455801104972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-330.0,-330.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-330.0,-330.0,-6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-177.7,-1777.0
20388,123784,0.0,1,-11770,-4778.0,-1590.0,-3886,1,0,1,1,0,0,0,0.0,0.0,-3492.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.057,0.0715720743345052,-1404.0,-190.0,-851.6,-856.0,1636.0,391.6,-405.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-923.0,-190.0,-631.0,-9.0,0.0,-1404.0,-961.0,-1182.5,-856.0,-999.0,0.0,-305.0,-204.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-305.0,-204.0,-58.63076923076923,1823.0,836.6,0.0,0.0,0.2727272727272727,1.0,6764.9400000000005,863.7872727272727,9501.66,-136.72727272727272,-1504.0
40420,146827,0.0,1,-12254,-2259.0,-6031.0,-4925,1,0,2,2,0,0,0,0.0,0.0,-288.0,1,0,4.0,1,0,1,1,0,0,0,0,0,1,0,1,0,0.21276,0.066819089732799,-2613.0,-140.0,-1627.0,-2429.0,591.0,-1223.25,-861.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140.0,-140.0,-140.0,-100.0,0.0,-2613.0,-1143.0,-2122.6666666666665,-2429.0,-1115.3333333333333,0.0,-2003.0,-584.5,14.4,72.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.0,0.1666666666666666,0.5,0.0,0.3333333333333333,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,-2003.0,-643.8,-23.142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-791.1764705882352,-13450.0
6372,107435,0.0,0,-13331,-2402.0,-2557.0,-3965,1,0,2,2,0,0,0,0.0,0.0,-2491.0,1,0,0.0,1,0,1,0,0,0,0,0,0,0,1,1,0,0.2436666666666666,0.02924,-1570.0,-596.0,-959.5,-1236.0,31079.0,7207.25,-452.5,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,-596.0,-596.0,-596.0,-12.0,0.0,-1570.0,-624.0,-1080.6666666666667,-1236.0,-599.3333333333334,0.0,-2491.0,-1390.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-2491.0,-1770.0,-50.6,1.0,0.05,0.0,0.0,0.1666666666666666,1.0,0.0,0.0,0.0,-1543.388888888889,-27781.0
7623,108885,0.0,0,-17541,-1939.0,-777.0,-648,1,0,1,1,0,0,0,0.0,0.0,-2070.0,1,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0.2914,0.0511856666081152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2070.0,-1038.5,12.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,-2070.0,-1038.5,-35.38,197.0,14.68,0.0,0.0,8.450980392156863,4.744151371651104,12653.235,-9326.025882352942,-475627.32,-1075.686274509804,-54860.0
21371,124899,0.0,1,-9227,-647.0,-4085.0,-1698,1,1,3,3,1,1,0,0.0,0.0,-299.0,1,0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.3006190476190476,0.0544975828729281,-39.0,-39.0,-39.0,326.0,326.0,326.0,-38.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.0,-39.0,-39.0,-38.0,0.0,,,,,,,-299.0,-214.0,2.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.25,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,-299.0,-299.0,-7.0,0.0,0.0,0.0,0.0,0.0,18745.8,0.0,-2410.174285714286,-16871.22,-214.8571428571429,-1504.0
